x,y
0.75,-0.4191305
0.7540004112758818,-0.419112114592316
0.7580020910072904,-0.4190605412989126
0.7620050454780815,-0.418989465408914
0.7660081143425074,-0.4189113354465404
0.7700117238832425,-0.41883300067102786
0.7740151062359723,-0.4187620862490292
0.7780180959157001,-0.41870142233926727
0.78202113832673,-0.41865022227228454
0.7860238920215434,-0.41860873388105124
0.7900266012888602,-0.41857493523060896
0.7940294145383004,-0.4185473938084048
0.7980321142592168,-0.4185258065913343
0.8020350497606528,-0.4185081961451976
0.8060378388291042,-0.4184949160853802
0.8100405858892163,-0.41848465164210863
0.81404327090665,-0.418476756025098
0.8180457663233343,-0.41847099953108696
0.8220482395519149,-0.4184665243501573
0.8260507677028414,-0.4184628413856437
0.8300533561840567,-0.41845974672253006
0.8340560163967802,-0.41845698426642214
0.838058740929003,-0.41845433165071994
0.8420614714947187,-0.4184516281403456
0.8460641881929013,-0.4184488928663848
0.8500668348407485,-0.41844614058048824
0.8540694313900031,-0.41844334335380196
0.8580719795481687,-0.41844048006551404
0.8620745500640701,-0.4184375069875808
0.8660771264480047,-0.4184344362279308
0.8700797243262637,-0.41843127777862255
0.8740823593251383,-0.4184280416317145
0.8780850189751991,-0.4184247350601837
0.8820876950688377,-0.4184214138014274
0.886090391299478,-0.4184180527736168
0.8900930676790956,-0.418414727885256
0.8940957395877001,-0.41841140994076653
0.8980983942774593,-0.4184081260901258
0.9021010303319479,-0.418404879349998
0.9061036564936172,-0.4184016644269854
0.9101062792093042,-0.41839848212828523
0.9141088987262564,-0.4183953300191206
0.9181115310760832,-0.4183922002438443
0.9221141690445601,-0.4183890963374976
0.926116816485536,-0.41838601530692526
0.9301194737493605,-0.4183829568800222
0.9341221372000459,-0.4183799215777595
0.9381247994457284,-0.4183769110835206
0.9421274606845432,-0.41837392473164725
0.9461306644956438,-0.41837095925256357
0.9501344084167536,-0.41836801480398683
0.9541389373036736,-0.41836508603033146
0.9581445624167446,-0.4183621642785024
0.9621514539066612,-0.4183592479026129
0.9661595796863817,-0.4183563299182836
0.9701691597100052,-0.4183534062064952
0.9741802475789123,-0.4183504751733051
0.9781927725359403,-0.41834753963244153
0.9822067645972284,-0.41834459882589975
0.9862221620971696,-0.41834166235129133
0.9902389714666623,-0.41833873028654894
0.9942571815180953,-0.4183358036267002
0.9982767832913787,-0.41833288202405416
1.0022977630929395,-0.4183299679841972
1.0063201418290504,-0.4183270506066379
1.01034390747678,-0.4183241313899236
1.0143690645168961,-0.41832120752954205
1.0183956225904263,-0.4183182756679063
1.0224235803728474,-0.4183153336227129
1.0264529345560802,-0.41831238884004796
1.0304836876857963,-0.4183094387228022
1.0345158335545594,-0.41830648728399883
1.0385493650817632,-0.4183035382642866
1.042584286842283,-0.4183005891245039
1.0466205940475193,-0.4182976389865861
1.0506582887497287,-0.41829468822684657
1.054697374017829,-0.4182917333496538
1.0587378529207374,-0.4182887708593762
1.0627797234125087,-0.41828580308643487
1.0668229921762868,-0.4182828282315865
