# Frequencia	 Amplitude	 frequencia	 Amplitude
4.081818181818181457e-01	-4.190078870635529640e-01	4.081818181818181457e-01	-4.189918043337777509e-01
4.091822638146167535e-01	-4.190070501813227821e-01	4.091822638146167535e-01	-4.189922729123352618e-01
4.101827094474153057e-01	-4.190062970775392248e-01	4.101827094474153057e-01	-4.189928006140595795e-01
4.111831550802139135e-01	-4.190056486245427037e-01	4.111831550802139135e-01	-4.189933939518555306e-01
4.121836007130124657e-01	-4.190051230494907242e-01	4.121836007130124657e-01	-4.189940584852370198e-01
4.131840463458110180e-01	-4.190047355792673178e-01	4.131840463458110180e-01	-4.189947980702428687e-01
4.141844919786096257e-01	-4.190044981315192429e-01	4.141844919786096257e-01	-4.189956146449073104e-01
4.151849376114081780e-01	-4.190044189961880661e-01	4.151849376114081780e-01	-4.189965088523747716e-01
4.161853832442067302e-01	-4.190045024552251363e-01	4.161853832442067302e-01	-4.189974804621706683e-01
4.171858288770053380e-01	-4.190047483544611651e-01	4.171858288770053380e-01	-4.189985278951451897e-01
4.181862745098038903e-01	-4.190051517175952256e-01	4.181862745098038903e-01	-4.189996473435961266e-01
4.191867201426024980e-01	-4.190057025016998282e-01	4.191867201426024980e-01	-4.190008324878009560e-01
4.201871657754010503e-01	-4.190063855450668062e-01	4.201871657754010503e-01	-4.190020747657317579e-01
4.211876114081996025e-01	-4.190071807142068394e-01	4.211876114081996025e-01	-4.190033631894998223e-01
4.221880570409982103e-01	-4.190080632416968154e-01	4.221880570409982103e-01	-4.190046835946917292e-01
4.231885026737967626e-01	-4.190090041580722957e-01	4.231885026737967626e-01	-4.190060181217861723e-01
4.241889483065953703e-01	-4.190099707134715135e-01	4.241889483065953703e-01	-4.190073454376369577e-01
4.251893939393939226e-01	-4.190109276631447388e-01	4.251893939393939226e-01	-4.190086416599359542e-01
4.261898395721924748e-01	-4.190118435381965933e-01	4.261898395721924748e-01	-4.190098838673213533e-01
4.271902852049910826e-01	-4.190126949140948187e-01	4.271902852049910826e-01	-4.190110540154171059e-01
4.281907308377896348e-01	-4.190134653008777965e-01	4.281907308377896348e-01	-4.190121392390950272e-01
4.291911764705882426e-01	-4.190141411095764656e-01	4.291911764705882426e-01	-4.190131286427798973e-01
4.301916221033867949e-01	-4.190147087717475127e-01	4.301916221033867949e-01	-4.190140112871758582e-01
4.311920677361853471e-01	-4.190151560311515255e-01	4.311920677361853471e-01	-4.190147767214034702e-01
4.321925133689839549e-01	-4.190154732961935413e-01	4.321925133689839549e-01	-4.190154152773193919e-01
4.331929590017825071e-01	-4.190156539601023744e-01	4.331929590017825071e-01	-4.190159183763049189e-01
4.341934046345811149e-01	-4.190156946235635838e-01	4.341934046345811149e-01	-4.190162791390450447e-01
4.351938502673796672e-01	-4.190155954502752800e-01	4.351938502673796672e-01	-4.190164931040152307e-01
4.361942959001782194e-01	-4.190153605361088274e-01	4.361942959001782194e-01	-4.190165588643456895e-01
4.371947415329768272e-01	-4.190149974787102383e-01	4.371947415329768272e-01	-4.190164781161202501e-01
4.381951871657753794e-01	-4.190145163318771404e-01	4.381951871657753794e-01	-4.190162557132544596e-01
4.391956327985739317e-01	-4.190139289968571878e-01	4.391956327985739317e-01	-4.190158992977270347e-01
4.401960784313725394e-01	-4.190132491384772617e-01	4.401960784313725394e-01	-4.190154188776805122e-01
4.411965240641710917e-01	-4.190124924176997223e-01	4.411965240641710917e-01	-4.190148266321208070e-01
4.421969696969696995e-01	-4.190116766460976749e-01	4.421969696969696995e-01	-4.190141368918675058e-01
4.431974153297682517e-01	-4.190108215522816981e-01	4.431974153297682517e-01	-4.190133661623647865e-01
4.441978609625668040e-01	-4.190099484168494093e-01	4.441978609625668040e-01	-4.190125329763153550e-01
4.451983065953654117e-01	-4.190090796903210846e-01	4.451983065953654117e-01	-4.190116576588642783e-01
4.461987522281639640e-01	-4.190082384389040016e-01	4.461987522281639640e-01	-4.190107621371532143e-01
4.471991978609625717e-01	-4.190074474923310976e-01	4.471991978609625717e-01	-4.190098696220164731e-01
4.481996434937611240e-01	-4.190067284551310944e-01	4.481996434937611240e-01	-4.190090039160966340e-01
4.492000891265596763e-01	-4.190061009259122282e-01	4.492000891265596763e-01	-4.190081884549148317e-01
4.502005347593582840e-01	-4.190055820813500809e-01	4.502005347593582840e-01	-4.190074454102128421e-01
4.512009803921568363e-01	-4.190051864594944164e-01	4.512009803921568363e-01	-4.190067950483142289e-01
4.522014260249554440e-01	-4.190049256709678649e-01	4.522014260249554440e-01	-4.190062552671601215e-01
4.532018716577539963e-01	-4.190048081078661668e-01	4.532018716577539963e-01	-4.190058411220757284e-01
4.542023172905525485e-01	-4.190048387153699760e-01	4.542023172905525485e-01	-4.190055642882746789e-01
4.552027629233511563e-01	-4.190050187334944387e-01	4.552027629233511563e-01	-4.190054326883781433e-01
4.562032085561497086e-01	-4.190053453069125800e-01	4.562032085561497086e-01	-4.190054502768381095e-01
4.572036541889483163e-01	-4.190058111125281592e-01	4.572036541889483163e-01	-4.190056166957203954e-01
4.582040998217468686e-01	-4.190064042086012464e-01	4.582040998217468686e-01	-4.190059269376688045e-01
4.592045454545454208e-01	-4.190071080201775988e-01	4.592045454545454208e-01	-4.190063710755316806e-01
4.602049910873440286e-01	-4.190079015209066671e-01	4.602049910873440286e-01	-4.190069341168446981e-01
4.612054367201425809e-01	-4.190087595655665464e-01	4.612054367201425809e-01	-4.190075960079350792e-01
4.622058823529411331e-01	-4.190096532914210914e-01	4.622058823529411331e-01	-4.190083317950095698e-01
4.632063279857397409e-01	-4.190105508444261773e-01	4.632063279857397409e-01	-4.190091121338208047e-01
4.642067736185382931e-01	-4.190114198979852378e-01	4.642067736185382931e-01	-4.190099059364330025e-01
4.652072192513369009e-01	-4.190122335886155569e-01	4.652072192513369009e-01	-4.190106866327533153e-01
4.662076648841354531e-01	-4.190129743089889836e-01	4.662076648841354531e-01	-4.190114361837231072e-01
4.672081105169340054e-01	-4.190136301355378845e-01	4.672081105169340054e-01	-4.190121413454531152e-01
4.682085561497326132e-01	-4.190141898384907582e-01	4.682085561497326132e-01	-4.190127884241554024e-01
4.692090017825311654e-01	-4.190146425182725287e-01	4.692090017825311654e-01	-4.190133630690526245e-01
4.702094474153297732e-01	-4.190149787113796043e-01	4.702094474153297732e-01	-4.190138515620889237e-01
4.712098930481283254e-01	-4.190151914984834303e-01	4.712098930481283254e-01	-4.190142418854130857e-01
4.722103386809268777e-01	-4.190152769531704791e-01	4.722103386809268777e-01	-4.190145242681485027e-01
4.732107843137254855e-01	-4.190152341994533569e-01	4.732107843137254855e-01	-4.190146914576214354e-01
4.742112299465240377e-01	-4.190150656408085372e-01	4.742112299465240377e-01	-4.190147391551145017e-01
4.752116755793226455e-01	-4.190147771245132380e-01	4.752116755793226455e-01	-4.190146663933740911e-01
4.762121212121211977e-01	-4.190143773296025054e-01	4.762121212121211977e-01	-4.190144752981376786e-01
4.772125668449197500e-01	-4.190138767049744750e-01	4.772125668449197500e-01	-4.190141703229426917e-01
4.782130124777183577e-01	-4.190132870103632778e-01	4.782130124777183577e-01	-4.190137578959365339e-01
4.792134581105169100e-01	-4.190126214333317889e-01	4.792134581105169100e-01	-4.190132465361388614e-01
4.802139037433155178e-01	-4.190118949117043190e-01	4.802139037433155178e-01	-4.190126471915296413e-01
4.812143493761140700e-01	-4.190111242946492065e-01	4.812143493761140700e-01	-4.190119734266600227e-01
4.822147950089126223e-01	-4.190103279708621287e-01	4.822147950089126223e-01	-4.190112412446639900e-01
4.832152406417112300e-01	-4.190095254813720471e-01	4.832152406417112300e-01	-4.190104688205927852e-01
4.842156862745097823e-01	-4.190087372901333818e-01	4.842156862745097823e-01	-4.190096762190572699e-01
4.852161319073083345e-01	-4.190079841579267828e-01	4.852161319073083345e-01	-4.190088849090266021e-01
4.862165775401069423e-01	-4.190072863343329290e-01	4.862165775401069423e-01	-4.190081169708368414e-01
4.872170231729054946e-01	-4.190066628222764988e-01	4.872170231729054946e-01	-4.190073941657190271e-01
4.882174688057041023e-01	-4.190061309516970312e-01	4.882174688057041023e-01	-4.190067371730350487e-01
4.892179144385026546e-01	-4.190057051659213383e-01	4.892179144385026546e-01	-4.190061651067684134e-01
4.902183600713012068e-01	-4.190053972995286813e-01	4.902183600713012068e-01	-4.190056951562950993e-01
4.912188057040998146e-01	-4.190052163433062860e-01	4.912188057040998146e-01	-4.190053421427293867e-01
4.922192513368983668e-01	-4.190051685265158699e-01	4.922192513368983668e-01	-4.190051180788339491e-01
4.932196969696969746e-01	-4.190052571638980261e-01	4.932196969696969746e-01	-4.190050317987629169e-01
4.942201426024955269e-01	-4.190054821969264043e-01	4.942201426024955269e-01	-4.190050885763875188e-01
4.952205882352940791e-01	-4.190058396578796307e-01	4.952205882352940791e-01	-4.190052896319173548e-01
4.962210338680926869e-01	-4.190063210899745982e-01	4.962210338680926869e-01	-4.190056316751901155e-01
4.972214795008912391e-01	-4.190069138308703534e-01	4.972214795008912391e-01	-4.190061066515543553e-01
4.982219251336898469e-01	-4.190076015164849177e-01	4.982219251336898469e-01	-4.190067015756776536e-01
4.992223707664883992e-01	-4.190083636007536638e-01	4.992223707664883992e-01	-4.190073985539833901e-01
5.002228163992870069e-01	-4.190091746433953768e-01	5.002228163992870069e-01	-4.190081749715702242e-01
5.012232620320855592e-01	-4.190100067374208925e-01	5.012232620320855592e-01	-4.190090037960261249e-01
5.022237076648841114e-01	-4.190108297788802671e-01	5.022237076648841114e-01	-4.190098543560661359e-01
5.032241532976826637e-01	-4.190116150028540543e-01	5.032241532976826637e-01	-4.190106966088598672e-01
5.042245989304812159e-01	-4.190123408713515851e-01	5.042245989304812159e-01	-4.190115070857156621e-01
5.052250445632798792e-01	-4.190129934278292168e-01	5.052250445632798792e-01	-4.190122696726963913e-01
5.062254901960784315e-01	-4.190135623963319178e-01	5.062254901960784315e-01	-4.190129705459702536e-01
5.072259358288769837e-01	-4.190140380369274942e-01	5.072259358288769837e-01	-4.190135957705196645e-01
5.082263814616755360e-01	-4.190144116368483274e-01	5.082263814616755360e-01	-4.190141320264896274e-01
5.092268270944740882e-01	-4.190146758720215692e-01	5.092268270944740882e-01	-4.190145670449308413e-01
5.102272727272727515e-01	-4.190148253826331826e-01	5.102272727272727515e-01	-4.190148904198802149e-01
5.112277183600713037e-01	-4.190148576338080244e-01	5.112277183600713037e-01	-4.190150945335194277e-01
5.122281639928698560e-01	-4.190147732788896962e-01	5.122281639928698560e-01	-4.190151749479844590e-01
5.132286096256684083e-01	-4.190145763542190704e-01	5.132286096256684083e-01	-4.190151307163320626e-01
5.142290552584669605e-01	-4.190142730555257988e-01	5.142290552584669605e-01	-4.190149633367702964e-01
5.152295008912656238e-01	-4.190138715736881347e-01	5.152295008912656238e-01	-4.190146768101117858e-01
5.162299465240641760e-01	-4.190133816189369198e-01	5.162299465240641760e-01	-4.190142773650276653e-01
5.172303921568627283e-01	-4.190128142997974203e-01	5.172303921568627283e-01	-4.190137735097917981e-01
5.182308377896612805e-01	-4.190121821032727900e-01	5.182308377896612805e-01	-4.190131760370400804e-01
5.192312834224598328e-01	-4.190114988933920093e-01	5.192312834224598328e-01	-4.190124979706013608e-01
5.202317290552584961e-01	-4.190107799494059426e-01	5.202317290552584961e-01	-4.190117546441272656e-01
5.212321746880570483e-01	-4.190100420132049086e-01	5.212321746880570483e-01	-4.190109637751994742e-01
5.222326203208556006e-01	-4.190093031707134985e-01	5.222326203208556006e-01	-4.190101452954160255e-01
5.232330659536541528e-01	-4.190085823788701203e-01	5.232330659536541528e-01	-4.190093207162317035e-01
5.242335115864527051e-01	-4.190078986734864785e-01	5.242335115864527051e-01	-4.190085122260957529e-01
5.252339572192513684e-01	-4.190072703161107359e-01	5.252339572192513684e-01	-4.190077418353484462e-01
5.262344028520499206e-01	-4.190067141258240202e-01	5.262344028520499206e-01	-4.190070307048068265e-01
5.272348484848484729e-01	-4.190062450866939847e-01	5.272348484848484729e-01	-4.190063986185830203e-01
5.282352941176470251e-01	-4.190058761027962708e-01	5.282352941176470251e-01	-4.190058635474488424e-01
5.292357397504455774e-01	-4.190056178102358753e-01	5.292357397504455774e-01	-4.190054412603916867e-01
5.302361853832442407e-01	-4.190054784073831695e-01	5.302361853832442407e-01	-4.190051449455829968e-01
5.312366310160427929e-01	-4.190054634528764255e-01	5.312366310160427929e-01	-4.190049848344750139e-01
5.322370766488413452e-01	-4.190055755665967330e-01	5.322370766488413452e-01	-4.190049677864135513e-01
5.332375222816398974e-01	-4.190058140296453182e-01	5.332375222816398974e-01	-4.190050968072192017e-01
5.342379679144384497e-01	-4.190061744026792323e-01	5.342379679144384497e-01	-4.190053705442592924e-01
5.352384135472370019e-01	-4.190066482714684959e-01	5.352384135472370019e-01	-4.190057829387986432e-01
5.362388591800356652e-01	-4.190072231436347550e-01	5.362388591800356652e-01	-4.190063231004447220e-01
5.372393048128342175e-01	-4.190078824281206482e-01	5.372393048128342175e-01	-4.190069752561288441e-01
5.382397504456327697e-01	-4.190086056115349122e-01	5.382397504456327697e-01	-4.190077188923863050e-01
5.392401960784313220e-01	-4.190093685612013563e-01	5.392401960784313220e-01	-4.190085290385344163e-01
5.402406417112298742e-01	-4.190101437202272128e-01	5.402406417112298742e-01	-4.190093766118915264e-01
5.412410873440285375e-01	-4.190109021436277392e-01	5.412410873440285375e-01	-4.190102297864881087e-01
5.422415329768270897e-01	-4.190116202895693975e-01	5.422415329768270897e-01	-4.190110603290315150e-01
5.432419786096256420e-01	-4.190122811513872780e-01	5.432419786096256420e-01	-4.190118475027135858e-01
5.442424242424241942e-01	-4.190128723691353141e-01	5.442424242424241942e-01	-4.190125766610881541e-01
5.452428698752227465e-01	-4.190133831307011891e-01	5.452428698752227465e-01	-4.190132350495981428e-01
5.462433155080214098e-01	-4.190138052185117257e-01	5.462433155080214098e-01	-4.190138093266616015e-01
5.472437611408199620e-01	-4.190141323870867907e-01	5.472437611408199620e-01	-4.190142867990467868e-01
5.482442067736185143e-01	-4.190143588348134718e-01	5.482442067736185143e-01	-4.190146565589738525e-01
5.492446524064170665e-01	-4.190144809370458523e-01	5.492446524064170665e-01	-4.190149101527621545e-01
5.502450980392156188e-01	-4.190144968969037320e-01	5.502450980392156188e-01	-4.190150417181022768e-01
5.512455436720142821e-01	-4.190144065431022913e-01	5.512455436720142821e-01	-4.190150484616722015e-01
5.522459893048128343e-01	-4.190142123202260649e-01	5.522459893048128343e-01	-4.190149310042059483e-01
5.532464349376113866e-01	-4.190139198767566242e-01	5.532464349376113866e-01	-4.190146931033303379e-01
5.542468805704099388e-01	-4.190135364506151761e-01	5.542468805704099388e-01	-4.190143408038803363e-01
5.552473262032084911e-01	-4.190130709467482228e-01	5.552473262032084911e-01	-4.190138819713675744e-01
5.562477718360071544e-01	-4.190125335023931474e-01	5.562477718360071544e-01	-4.190133263181000656e-01
5.572482174688057066e-01	-4.190119358360237523e-01	5.572482174688057066e-01	-4.190126857371219149e-01
5.582486631016042589e-01	-4.190112907269556985e-01	5.582486631016042589e-01	-4.190119745499397141e-01
5.592491087344028111e-01	-4.190106122764210572e-01	5.592491087344028111e-01	-4.190112093807653593e-01
5.602495543672013634e-01	-4.190099160370848730e-01	5.602495543672013634e-01	-4.190104088844417429e-01
5.612500000000000266e-01	-4.190092189132372802e-01	5.612500000000000266e-01	-4.190095934429812763e-01
5.622504456327985789e-01	-4.190085386361582787e-01	5.622504456327985789e-01	-4.190087846531690974e-01
5.632508912655971312e-01	-4.190078930205222152e-01	5.632508912655971312e-01	-4.190080045080279425e-01
5.642513368983956834e-01	-4.190072993160813275e-01	5.642513368983956834e-01	-4.190072744405769489e-01
5.652517825311942357e-01	-4.190067736971352930e-01	5.652517825311942357e-01	-4.190066145600938041e-01
5.662522281639928989e-01	-4.190063308053418867e-01	5.662522281639928989e-01	-4.190060432184803396e-01
5.672526737967914512e-01	-4.190059832483774560e-01	5.672526737967914512e-01	-4.190055767410887921e-01
5.682531194295900034e-01	-4.190057413058836389e-01	5.682531194295900034e-01	-4.190052290699510795e-01
5.692535650623885557e-01	-4.190056128525639911e-01	5.692535650623885557e-01	-4.190050113977710211e-01
5.702540106951871079e-01	-4.190056033041487105e-01	5.702540106951871079e-01	-4.190049318478175633e-01
5.712544563279857712e-01	-4.190057153024222547e-01	5.712544563279857712e-01	-4.190049951051572630e-01
5.722549019607843235e-01	-4.190059481686762011e-01	5.722549019607843235e-01	-4.190052019016254348e-01
5.732553475935828757e-01	-4.190062974880358615e-01	5.732553475935828757e-01	-4.190055485442310546e-01
5.742557932263814280e-01	-4.190067550384132256e-01	5.742557932263814280e-01	-4.190060266580722947e-01
5.752562388591799802e-01	-4.190073088001133872e-01	5.752562388591799802e-01	-4.190066230467140995e-01
5.762566844919785325e-01	-4.190079427140125934e-01	5.762566844919785325e-01	-4.190073197614173073e-01
5.772571301247771958e-01	-4.190086364365626648e-01	5.772571301247771958e-01	-4.190080943425658067e-01
